station_complex_id,borough,routes,payment_method,latitude,longitude,ridership,transfers,region,ridership_percap,transfers_percap
N408A,Brooklyn,['G'],metrocard,40.72463607788086,-73.95127868652344,2020,13,NW,0.0007797674285740755,5.0183052333975165e-06
N408A,Brooklyn,['G'],omny,40.72463607788086,-73.95127868652344,4935,27,NW,0.0019050258712935955,1.042263394628715e-05
N412,Brooklyn,['G'],metrocard,40.706092834472656,-73.95030975341797,1432,12,SW,0.000552785622632711,4.632281753905399e-06
N412,Brooklyn,['G'],omny,40.706092834472656,-73.95030975341797,2235,45,SW,0.0008627624766648806,1.7371056577145248e-05
N414,Brooklyn,['G'],metrocard,40.70037841796875,-73.95023345947266,715,7,SW,0.0002760067878368634,2.7021643564448164e-06
N414,Brooklyn,['G'],omny,40.70037841796875,-73.95023345947266,791,25,SW,0.00030534457227826426,9.650586987302915e-06
N415,Brooklyn,['G'],metrocard,40.6945686340332,-73.94904327392578,1200,15,SW,0.00046322817539053997,5.790352192381749e-06
N415,Brooklyn,['G'],omny,40.6945686340332,-73.94904327392578,2299,38,SW,0.0008874679793523762,1.4668892220700432e-05
N417,Brooklyn,['G'],metrocard,40.68962860107422,-73.95352172851562,1591,36,SW,0.0006141633558719576,1.3896845261716198e-05
N417,Brooklyn,['G'],omny,40.68962860107422,-73.95352172851562,3847,151,SW,0.0014850323256061727,5.828954540330961e-05
N419,Brooklyn,['G'],metrocard,40.688873291015625,-73.96006774902344,1058,11,SW,0.0004084128413026594,4.246258274413283e-06
N419,Brooklyn,['G'],omny,40.688873291015625,-73.96006774902344,2843,48,SW,0.0010974647521960876,1.8529127015621597e-05
N420B,Brooklyn,['G'],metrocard,40.688087463378906,-73.96684265136719,1066,5,SW,0.0004115010291385963,1.9301173974605833e-06
N420B,Brooklyn,['G'],omny,40.688087463378906,-73.96684265136719,2816,31,SW,0.0010870421182498004,1.1966727864255616e-05
N422,Brooklyn,['G'],metrocard,40.68711853027344,-73.97537231445312,1617,16,SW,0.0006241999663387526,6.176375671873866e-06
N422,Brooklyn,['G'],omny,40.68711853027344,-73.97537231445312,3936,50,SW,0.001519388415280971,1.930117397460583e-05
N500,Manhattan,"['F', 'M', 'B', 'D']",metrocard,40.75866317749024,-73.98133087158203,9427,30,NW,0.0059056314302127514,1.8793777756060524e-05
N500,Manhattan,"['F', 'M', 'B', 'D']",omny,40.75866317749024,-73.98133087158203,9607,127,NW,0.006018394096749115,7.956032583398955e-05
N508,Manhattan,"['F', 'M']",metrocard,40.74287796020508,-73.9928207397461,4853,44,NW,0.0030402067816720575,2.7564207375555434e-05
N508,Manhattan,"['F', 'M']",omny,40.74287796020508,-73.9928207397461,7174,118,NW,0.004494218720732607,7.392219250717139e-05
N512,Manhattan,"['F', 'M', '3', '1', '2', 'L']",metrocard,40.73822784423828,-73.99620819091797,10603,1324,NW,0.0066423475182503244,0.0008294320583008045
N512,Manhattan,"['F', 'M', '3', '1', '2', 'L']",omny,40.73822784423828,-73.99620819091797,22429,7475,NW,0.014050854709689383,0.004682782957551747
N520,Manhattan,"['B', 'D']",metrocard,40.71826553344727,-73.9937515258789,8524,53,SW,0.00533993871975533,3.320234070237359e-05
